Incidence_ID,IncidenceCode,Driver_ID,Weight,Date,Status
i1002950-1,accident,d1002950,0.54,20/04/2024,Pending
i1002527-1,theft,d1002527,0.63,26/01/2024,Pending
i1002435-4,theft,d1002435,0.36,01/01/2024,Pending
i1001752-3,theft,d1001752,0.57,31/03/2025,Pending
i1001412-3,theft,d1001412,0.98,10/07/2025,Resolved
i1001985-3,speeding,d1001985,0.69,21/02/2025,Pending
i1002211-4,licenseFine,d1002211,0.99,24/06/2024,UnderReview
i1001017-1,accident,d1001017,0.28,15/11/2024,Pending
i1002270-4,licenseFine,d1002270,0.82,13/12/2024,Open
i1002494-1,speeding,d1002494,0.2,08/09/2024,Resolved
i1002217-1,maintenance,d1002217,0.53,06/08/2025,UnderReview
i1002713-3,licenseFine,d1002713,0.13,02/08/2025,UnderReview
i1001918-2,licenseFine,d1001918,0.96,19/05/2024,Resolved
i1001045-2,licenseFine,d1001045,0.85,01/06/2024,Open
i1001175-2,accident,d1001175,0.75,20/03/2025,Open
i1001928-1,licenseFine,d1001928,0.62,30/09/2024,Resolved
i1002344-2,routeDelay,d1002344,0.71,26/06/2025,Resolved
i1001963-2,maintenance,d1001963,0.75,22/05/2024,Resolved
i1002366-3,licenseFine,d1002366,0.82,23/09/2024,Open
i1002495-5,theft,d1002495,0.99,22/02/2025,Pending
i1001694-2,theft,d1001694,0.44,25/02/2024,UnderReview
i1002311-1,speeding,d1002311,0.58,30/10/2024,Open
i1002726-5,licenseFine,d1002726,0.9,14/06/2025,Resolved
i1002652-5,licenseFine,d1002652,0.61,13/04/2025,Pending
i1002064-1,theft,d1002064,0.51,16/05/2025,Resolved
i1002212-3,accident,d1002212,0.08,17/05/2024,Resolved
i1002254-1,theft,d1002254,0.88,25/12/2024,UnderReview
i1002571-3,speeding,d1002571,0.09,09/10/2024,Open
i1001073-1,accident,d1001073,0.33,02/02/2024,Open
i1002195-2,routeDelay,d1002195,0.35,14/07/2025,UnderReview
i1002215-2,speeding,d1002215,0.16,11/10/2024,UnderReview
i1001646-3,accident,d1001646,0.09,02/03/2025,UnderReview
i1002794-5,licenseFine,d1002794,1.0,21/08/2025,Resolved
i1001019-3,speeding,d1001019,0.98,11/11/2024,UnderReview
i1001220-3,routeDelay,d1001220,0.76,17/07/2025,UnderReview
i1002102-2,maintenance,d1002102,0.06,14/01/2025,Resolved
i1002551-5,accident,d1002551,0.4,10/01/2024,UnderReview
i1002355-5,theft,d1002355,0.37,15/01/2024,Resolved
i1002120-4,speeding,d1002120,0.29,16/06/2024,Resolved
i1002436-4,maintenance,d1002436,0.93,21/01/2025,Open
i1001754-1,accident,d1001754,0.25,15/02/2025,Open
i1002416-5,maintenance,d1002416,0.99,05/09/2024,UnderReview
i1002332-2,maintenance,d1002332,0.51,11/02/2024,Open
i1001251-1,maintenance,d1001251,0.92,01/03/2024,UnderReview
i1002048-4,theft,d1002048,0.36,12/05/2024,Resolved
i1001814-1,routeDelay,d1001814,0.97,17/05/2024,Pending
i1002631-1,speeding,d1002631,0.07,17/12/2024,UnderReview
i1001372-2,theft,d1001372,0.92,07/04/2024,Resolved
i1001800-5,maintenance,d1001800,0.2,10/06/2025,Open
i1001058-5,theft,d1001058,0.63,19/06/2024,Pending
i1002021-5,routeDelay,d1002021,0.07,31/07/2025,UnderReview
i1001914-2,maintenance,d1001914,0.59,13/04/2025,Pending
i1001829-2,accident,d1001829,0.65,19/07/2025,Open
i1001267-3,accident,d1001267,0.51,17/11/2024,Resolved
i1002992-2,theft,d1002992,0.85,05/01/2025,Pending
i1002579-1,licenseFine,d1002579,0.54,28/08/2024,Open
i1001453-5,routeDelay,d1001453,0.25,18/07/2024,Resolved
i1002645-1,licenseFine,d1002645,0.65,10/08/2024,Open
i1002769-4,speeding,d1002769,0.85,15/01/2024,Open
i1001812-2,theft,d1001812,0.45,02/03/2024,UnderReview
i1002619-4,accident,d1002619,1.0,07/06/2025,UnderReview
i1001013-5,speeding,d1001013,0.69,09/04/2025,Pending
i1002674-4,maintenance,d1002674,0.2,20/04/2025,Resolved
i1002470-1,accident,d1002470,0.42,05/08/2025,Open
i1001774-1,maintenance,d1001774,0.51,04/07/2025,Open
i1002462-3,licenseFine,d1002462,0.47,29/03/2024,Pending
i1002845-2,routeDelay,d1002845,0.94,19/01/2025,Pending
i1002254-5,speeding,d1002254,0.25,19/11/2024,Pending
i1001869-1,theft,d1001869,0.31,11/05/2024,Resolved
i1001558-2,accident,d1001558,0.6,19/01/2024,Pending
i1002028-5,theft,d1002028,0.11,16/06/2024,UnderReview
i1001227-1,speeding,d1001227,0.5,29/03/2024,Resolved
i1001909-1,theft,d1001909,0.52,13/02/2025,Pending
i1001468-1,accident,d1001468,0.58,01/10/2024,Pending
i1001699-4,maintenance,d1001699,0.32,01/04/2024,Pending
i1002093-4,licenseFine,d1002093,0.54,19/04/2025,Resolved
i1001351-2,speeding,d1001351,0.11,28/05/2025,Resolved
i1002186-5,speeding,d1002186,0.12,12/06/2025,Resolved
i1002752-5,routeDelay,d1002752,0.06,23/08/2024,Pending
i1002994-1,speeding,d1002994,0.23,07/12/2024,Resolved
i1002391-4,speeding,d1002391,0.15,21/01/2025,UnderReview
i1001921-5,routeDelay,d1001921,0.42,11/03/2024,Pending
i1002373-2,accident,d1002373,0.55,11/09/2024,UnderReview
i1001340-5,maintenance,d1001340,0.25,25/02/2024,UnderReview
i1002427-5,theft,d1002427,0.48,02/08/2025,UnderReview
i1002538-1,accident,d1002538,0.68,02/08/2024,UnderReview
i1002762-3,theft,d1002762,0.58,29/11/2024,Pending
i1001284-2,speeding,d1001284,0.88,28/10/2024,Pending
i1002620-1,maintenance,d1002620,0.15,25/01/2025,Open
i1002358-2,speeding,d1002358,0.81,24/01/2025,UnderReview
i1002866-5,accident,d1002866,0.93,06/01/2024,Resolved
i1001338-1,theft,d1001338,0.72,26/11/2024,Resolved
i1001949-5,theft,d1001949,0.18,26/06/2025,UnderReview
i1001713-5,speeding,d1001713,0.11,24/01/2025,Resolved
i1001844-2,routeDelay,d1001844,0.09,24/09/2024,UnderReview
i1001548-1,theft,d1001548,0.6,01/03/2025,Pending
i1002612-3,licenseFine,d1002612,0.93,01/08/2025,UnderReview
i1002122-2,theft,d1002122,0.15,22/11/2024,Open
i1001693-5,licenseFine,d1001693,0.62,22/11/2024,UnderReview
i1001170-2,accident,d1001170,0.05,14/05/2025,UnderReview
i1002828-3,theft,d1002828,0.25,22/09/2024,Open
i1001469-4,accident,d1001469,0.7,21/03/2024,Open
i1002536-1,routeDelay,d1002536,0.29,23/07/2024,Pending
i1001118-4,theft,d1001118,0.41,21/04/2025,Open
i1001798-5,theft,d1001798,0.14,06/01/2025,Open
i1001089-3,accident,d1001089,0.76,07/04/2025,UnderReview
i1001695-5,speeding,d1001695,0.13,26/05/2024,Resolved
i1001157-2,speeding,d1001157,0.52,02/06/2024,Open
i1002396-2,routeDelay,d1002396,0.65,19/02/2025,Open
i1001221-4,theft,d1001221,0.5,02/06/2024,Open
i1002927-3,speeding,d1002927,0.07,24/07/2025,Pending
i1002094-5,accident,d1002094,0.71,16/03/2024,Resolved
i1002445-5,routeDelay,d1002445,0.81,06/03/2024,Open
i1002458-1,speeding,d1002458,0.25,25/09/2024,Pending
i1001193-3,accident,d1001193,0.68,20/07/2025,Open
i1001129-2,accident,d1001129,0.85,12/06/2024,Open
i1001293-2,routeDelay,d1001293,0.3,18/07/2025,Pending
i1001566-2,accident,d1001566,0.59,22/07/2025,Open
i1001366-5,routeDelay,d1001366,0.87,18/03/2025,Open
i1001201-1,routeDelay,d1001201,0.29,26/02/2024,Open
i1001296-2,licenseFine,d1001296,0.23,30/12/2024,UnderReview
i1001121-5,accident,d1001121,0.97,20/03/2024,UnderReview
i1001400-5,routeDelay,d1001400,0.89,29/07/2025,UnderReview
i1002102-3,licenseFine,d1002102,0.9,22/07/2025,Resolved
i1002047-1,speeding,d1002047,0.21,13/03/2024,Open
i1002994-2,licenseFine,d1002994,0.16,21/04/2024,Resolved
i1001284-5,speeding,d1001284,0.32,12/02/2025,UnderReview
i1002262-5,licenseFine,d1002262,0.16,16/09/2024,Open
i1002209-5,theft,d1002209,0.1,13/09/2024,Resolved
i1001313-5,maintenance,d1001313,0.64,04/02/2025,Open
i1001030-5,licenseFine,d1001030,0.79,28/06/2024,UnderReview
i1002754-5,licenseFine,d1002754,0.57,08/02/2025,Open
i1001344-3,theft,d1001344,0.69,30/05/2024,Resolved
i1002992-2,accident,d1002992,0.11,10/09/2024,Open
i1002755-2,accident,d1002755,0.26,23/09/2024,Resolved
i1001403-5,routeDelay,d1001403,0.95,06/06/2024,Resolved
i1002961-2,maintenance,d1002961,0.47,30/04/2025,Open
i1002283-2,maintenance,d1002283,0.66,21/12/2024,Resolved
i1002163-1,theft,d1002163,0.41,02/05/2025,UnderReview
i1001645-1,routeDelay,d1001645,0.32,18/02/2025,Open
i1002591-5,licenseFine,d1002591,0.38,05/06/2024,UnderReview
i1002820-5,theft,d1002820,0.66,21/04/2025,UnderReview
i1001968-2,routeDelay,d1001968,0.82,28/01/2024,UnderReview
i1002700-2,licenseFine,d1002700,0.13,15/09/2024,Resolved
i1002113-4,licenseFine,d1002113,0.71,05/11/2024,Pending
i1002070-5,speeding,d1002070,0.91,12/08/2025,Resolved
i1001214-1,accident,d1001214,0.96,23/06/2024,UnderReview
i1002718-3,maintenance,d1002718,0.06,04/08/2024,Open
i1002632-2,speeding,d1002632,0.29,13/11/2024,UnderReview
i1001195-5,accident,d1001195,0.93,03/03/2025,Pending
i1001392-5,licenseFine,d1001392,0.34,18/02/2024,Resolved
i1002528-4,theft,d1002528,0.95,23/11/2024,Pending
i1002605-5,theft,d1002605,0.7,02/06/2024,UnderReview
i1002057-2,licenseFine,d1002057,0.46,18/07/2024,Pending
i1001721-5,routeDelay,d1001721,0.08,04/05/2024,Resolved
i1002610-3,accident,d1002610,0.35,08/10/2024,Open
i1001782-4,speeding,d1001782,0.34,14/12/2024,UnderReview
i1001181-2,licenseFine,d1001181,0.53,29/06/2024,Open
i1002813-3,maintenance,d1002813,0.47,09/07/2024,Resolved
i1001840-3,accident,d1001840,0.92,29/06/2024,Resolved
i1001349-2,licenseFine,d1001349,0.38,01/05/2024,Resolved
i1002351-3,maintenance,d1002351,0.31,16/01/2025,Open
i1001525-2,licenseFine,d1001525,0.95,28/08/2024,Open
i1002504-4,accident,d1002504,0.98,05/01/2025,UnderReview
i1001813-1,accident,d1001813,0.21,02/01/2025,Resolved
i1002606-1,speeding,d1002606,0.9,25/06/2024,Resolved
i1002532-2,licenseFine,d1002532,0.3,11/05/2025,Resolved
i1001763-3,licenseFine,d1001763,0.35,27/11/2024,Resolved
i1002158-4,speeding,d1002158,0.98,24/02/2024,UnderReview
i1002640-3,routeDelay,d1002640,0.53,27/01/2024,Pending
i1002637-2,maintenance,d1002637,0.38,11/09/2024,Open
i1001127-3,licenseFine,d1001127,0.83,18/03/2024,Open
i1001877-3,accident,d1001877,0.98,09/10/2024,Open
i1002834-5,maintenance,d1002834,0.75,26/07/2025,Open
i1002887-5,speeding,d1002887,0.3,10/03/2024,Resolved
i1002600-2,speeding,d1002600,0.58,23/01/2024,UnderReview
i1002390-3,speeding,d1002390,0.85,02/06/2025,Resolved
i1001787-5,maintenance,d1001787,0.25,27/07/2024,Open
i1002280-1,maintenance,d1002280,0.18,25/04/2024,UnderReview
i1002517-1,licenseFine,d1002517,0.53,26/01/2025,Open
i1002084-5,speeding,d1002084,0.68,20/02/2025,UnderReview
i1002707-4,licenseFine,d1002707,0.21,06/11/2024,UnderReview
i1002502-2,routeDelay,d1002502,0.86,26/06/2024,Resolved
i1001168-3,speeding,d1001168,0.39,14/05/2024,Resolved
i1002509-3,accident,d1002509,0.32,27/05/2025,Pending
i1001203-1,theft,d1001203,0.9,03/01/2025,UnderReview
i1001380-3,licenseFine,d1001380,0.76,10/06/2025,Resolved
i1002409-1,maintenance,d1002409,0.46,23/11/2024,Resolved
i1001608-4,accident,d1001608,0.77,17/02/2025,Pending
i1001614-3,accident,d1001614,0.12,03/03/2024,Open
i1002464-1,licenseFine,d1002464,0.54,21/07/2025,UnderReview
i1002922-5,speeding,d1002922,0.1,14/06/2025,UnderReview
i1002008-3,routeDelay,d1002008,0.32,01/12/2024,Pending
i1002480-5,routeDelay,d1002480,0.27,24/02/2025,Open
i1001644-3,theft,d1001644,0.54,19/02/2024,Resolved
i1002910-3,speeding,d1002910,0.62,22/08/2024,Resolved
i1002254-3,theft,d1002254,0.99,28/01/2024,Pending
i1001593-3,speeding,d1001593,0.35,12/06/2025,UnderReview
i1002329-5,theft,d1002329,0.46,29/01/2025,Open
i1002664-5,accident,d1002664,0.54,12/07/2025,Open
i1002148-3,theft,d1002148,0.74,13/02/2024,Resolved
i1001726-5,theft,d1001726,0.7,10/05/2025,Resolved
i1001010-1,accident,d1001010,0.29,23/07/2025,Resolved
i1001086-2,licenseFine,d1001086,0.11,22/03/2025,Pending
i1002891-5,routeDelay,d1002891,0.71,24/06/2025,Resolved
i1001873-5,routeDelay,d1001873,0.91,30/07/2024,UnderReview
i1002359-5,theft,d1002359,0.68,26/03/2024,Pending
i1001884-1,theft,d1001884,0.28,16/09/2024,Resolved
i1001397-1,licenseFine,d1001397,0.74,27/03/2025,UnderReview
i1001701-1,licenseFine,d1001701,0.55,15/07/2025,Resolved
i1002992-2,licenseFine,d1002992,0.72,27/12/2024,UnderReview
i1002547-1,licenseFine,d1002547,0.9,26/01/2025,Open
i1002354-5,maintenance,d1002354,0.64,22/06/2025,UnderReview
i1001537-3,theft,d1001537,0.3,13/03/2024,Pending
i1002450-5,routeDelay,d1002450,0.64,08/07/2025,UnderReview
i1001580-2,licenseFine,d1001580,0.88,27/11/2024,UnderReview
i1001551-5,maintenance,d1001551,0.8,15/04/2024,UnderReview
i1001221-3,routeDelay,d1001221,0.72,14/01/2024,Resolved
i1002402-4,accident,d1002402,0.62,05/12/2024,Open
i1002553-3,speeding,d1002553,0.42,01/03/2024,Open
i1001430-5,speeding,d1001430,0.76,06/12/2024,Pending
i1002894-1,accident,d1002894,0.38,02/12/2024,UnderReview
i1001655-2,theft,d1001655,0.57,30/05/2024,Open
i1001730-3,routeDelay,d1001730,0.09,01/02/2024,Pending
i1001419-5,routeDelay,d1001419,0.94,20/05/2025,UnderReview
i1001951-4,theft,d1001951,1.0,29/05/2024,Open
i1001308-5,speeding,d1001308,0.48,07/05/2025,Resolved
i1002521-3,licenseFine,d1002521,0.4,22/08/2024,Resolved
i1002624-4,speeding,d1002624,0.4,18/01/2024,UnderReview
i1001911-3,theft,d1001911,0.94,12/09/2024,UnderReview
i1002440-1,routeDelay,d1002440,0.81,10/11/2024,UnderReview
i1002295-4,accident,d1002295,0.34,22/04/2024,Pending
i1002124-4,theft,d1002124,0.86,27/06/2024,Resolved
i1002752-2,routeDelay,d1002752,0.3,07/07/2024,Pending
i1002161-3,licenseFine,d1002161,0.21,16/02/2025,Resolved
i1002732-4,theft,d1002732,0.77,17/06/2025,Resolved
i1002807-5,maintenance,d1002807,0.87,07/02/2025,UnderReview
i1002655-1,maintenance,d1002655,0.16,26/05/2024,Resolved
i1002486-2,maintenance,d1002486,0.92,04/02/2025,Open
i1002287-1,licenseFine,d1002287,0.46,18/12/2024,UnderReview
i1001358-2,licenseFine,d1001358,0.4,16/03/2025,Open
i1001906-2,accident,d1001906,0.53,05/06/2024,UnderReview
i1001412-2,speeding,d1001412,0.79,21/03/2024,Pending
i1001985-1,maintenance,d1001985,0.12,24/06/2025,UnderReview
i1002983-2,accident,d1002983,0.86,19/06/2024,UnderReview
i1002986-2,maintenance,d1002986,0.58,17/02/2025,Open
i1002757-4,routeDelay,d1002757,0.57,05/07/2024,Open
i1001380-2,licenseFine,d1001380,0.21,19/01/2024,Resolved
i1002766-5,maintenance,d1002766,0.95,10/12/2024,UnderReview
i1002926-2,maintenance,d1002926,0.86,12/07/2025,Pending
i1002300-4,routeDelay,d1002300,0.21,19/06/2024,Open
i1001657-4,accident,d1001657,0.18,14/08/2024,UnderReview
i1002317-2,maintenance,d1002317,0.93,02/08/2024,Open
i1002030-2,speeding,d1002030,0.56,04/07/2024,UnderReview
i1001886-5,accident,d1001886,0.56,29/04/2024,UnderReview
i1002031-2,accident,d1002031,0.48,21/10/2024,Open
i1002383-1,speeding,d1002383,0.99,18/05/2024,Pending
i1001439-2,accident,d1001439,0.2,03/05/2025,Open
i1001399-1,accident,d1001399,0.92,29/05/2024,Resolved
i1002723-2,maintenance,d1002723,0.87,08/03/2025,Pending
i1002696-2,accident,d1002696,0.82,17/02/2025,Pending
i1001655-5,licenseFine,d1001655,0.7,11/06/2025,Pending
i1001842-2,speeding,d1001842,0.92,06/06/2024,Open
i1002518-2,speeding,d1002518,0.78,26/03/2024,Pending
i1001033-3,licenseFine,d1001033,0.84,03/03/2024,Pending
i1001243-1,licenseFine,d1001243,0.37,10/12/2024,UnderReview
i1002279-4,speeding,d1002279,0.29,08/07/2024,Resolved
i1002307-3,licenseFine,d1002307,0.13,12/02/2024,Open
i1001514-2,theft,d1001514,0.9,20/05/2024,Resolved
i1002959-1,accident,d1002959,0.82,19/03/2025,UnderReview
i1001898-4,theft,d1001898,0.37,09/09/2024,UnderReview
i1002742-4,speeding,d1002742,0.5,04/06/2025,UnderReview
i1002539-2,speeding,d1002539,0.86,15/03/2024,Pending
i1002106-2,routeDelay,d1002106,0.37,11/02/2024,Pending
i1002686-1,licenseFine,d1002686,0.75,15/09/2024,UnderReview
i1001643-2,maintenance,d1001643,0.83,17/06/2025,Pending
i1002141-2,speeding,d1002141,0.84,11/04/2025,Open
i1002769-3,routeDelay,d1002769,0.91,23/04/2024,Pending
i1001159-4,licenseFine,d1001159,0.36,20/07/2024,UnderReview
i1002007-2,maintenance,d1002007,0.59,29/01/2024,Pending
i1001109-1,speeding,d1001109,0.22,28/02/2024,Open
i1001004-1,accident,d1001004,0.14,30/06/2025,Pending
i1001585-5,theft,d1001585,0.59,10/08/2024,UnderReview
i1001686-4,speeding,d1001686,0.14,20/01/2024,Resolved
i1001062-5,maintenance,d1001062,0.1,19/05/2025,UnderReview
i1002402-4,theft,d1002402,0.89,02/05/2025,UnderReview
i1001178-4,maintenance,d1001178,0.07,25/10/2024,Pending
i1002289-3,speeding,d1002289,0.44,17/10/2024,UnderReview
i1002905-5,accident,d1002905,0.48,01/07/2024,Open
i1002025-3,maintenance,d1002025,0.17,13/05/2025,Resolved
i1002134-3,maintenance,d1002134,0.12,27/01/2025,UnderReview
i1001940-1,routeDelay,d1001940,0.98,20/06/2025,UnderReview
i1002742-3,speeding,d1002742,0.63,29/01/2024,Pending
i1001729-2,theft,d1001729,0.1,24/05/2025,Open
i1001975-3,accident,d1001975,0.71,04/10/2024,UnderReview
i1001086-3,routeDelay,d1001086,0.38,29/09/2024,UnderReview
i1002796-1,theft,d1002796,0.68,20/10/2024,Pending
i1002144-5,maintenance,d1002144,0.27,04/06/2024,UnderReview
i1001681-5,licenseFine,d1001681,0.47,04/09/2024,Open
i1001717-3,speeding,d1001717,0.35,11/08/2025,Resolved
i1002036-4,speeding,d1002036,0.51,03/06/2025,UnderReview
i1002223-2,routeDelay,d1002223,0.08,31/08/2024,Resolved
i1002090-5,accident,d1002090,0.26,25/03/2024,Pending
i1002971-2,maintenance,d1002971,0.43,03/05/2025,Pending
i1002212-5,licenseFine,d1002212,0.65,10/02/2024,Open
i1001426-5,licenseFine,d1001426,0.07,09/06/2024,UnderReview
i1001830-5,licenseFine,d1001830,0.73,04/07/2025,Open
i1002862-2,theft,d1002862,0.86,26/06/2024,Resolved
i1001236-5,accident,d1001236,0.62,19/05/2025,Open
i1001355-3,accident,d1001355,0.83,31/01/2024,Resolved
i1001447-3,accident,d1001447,0.67,13/02/2024,Pending
i1002010-5,routeDelay,d1002010,0.82,01/01/2025,UnderReview
i1001769-2,theft,d1001769,0.94,12/03/2025,Pending
i1002479-5,licenseFine,d1002479,0.6,27/11/2024,UnderReview
i1001452-2,maintenance,d1001452,0.54,17/07/2024,Open
i1002651-1,accident,d1002651,0.36,19/01/2024,UnderReview
i1002476-2,speeding,d1002476,0.53,23/06/2025,Pending
i1002659-5,theft,d1002659,0.56,01/05/2024,UnderReview
i1001906-4,licenseFine,d1001906,0.56,31/03/2025,Open
i1002691-1,maintenance,d1002691,0.39,06/08/2025,Open
i1001520-5,speeding,d1001520,0.57,09/07/2025,UnderReview
i1001100-3,theft,d1001100,0.34,20/08/2025,UnderReview
i1001792-1,licenseFine,d1001792,0.67,03/11/2024,Pending
i1002791-3,accident,d1002791,0.49,22/03/2025,UnderReview
i1002737-5,accident,d1002737,0.6,13/06/2024,Open
i1002069-5,routeDelay,d1002069,0.51,14/11/2024,Resolved
i1002479-2,accident,d1002479,0.23,20/07/2025,Open
i1001707-5,accident,d1001707,0.58,24/06/2024,Resolved
i1001910-5,theft,d1001910,0.16,13/08/2024,Open
i1002260-2,licenseFine,d1002260,0.44,09/06/2025,Pending
i1002701-2,theft,d1002701,0.89,10/05/2025,Open
i1002788-2,licenseFine,d1002788,0.53,13/04/2025,Resolved
i1002179-2,theft,d1002179,0.9,30/03/2024,Open
i1002811-3,theft,d1002811,0.38,02/01/2025,Open
i1001902-4,theft,d1001902,0.23,08/09/2024,Resolved
i1002165-3,accident,d1002165,0.65,10/05/2024,Pending
i1001224-3,routeDelay,d1001224,0.2,01/12/2024,UnderReview
i1001352-3,routeDelay,d1001352,0.06,26/01/2025,UnderReview
i1002756-4,theft,d1002756,0.67,14/01/2024,Open
i1001744-3,accident,d1001744,1.0,19/02/2025,Open
i1002216-5,maintenance,d1002216,0.51,08/08/2025,Resolved
i1001815-1,licenseFine,d1001815,0.53,07/04/2024,Open
i1002330-1,speeding,d1002330,0.91,13/11/2024,Resolved
i1001794-5,licenseFine,d1001794,0.8,18/12/2024,UnderReview
i1002169-3,licenseFine,d1002169,0.73,06/08/2024,Open
i1001616-3,licenseFine,d1001616,0.61,09/12/2024,Pending
i1002443-3,routeDelay,d1002443,0.78,26/10/2024,UnderReview
i1001257-1,licenseFine,d1001257,0.07,25/01/2025,UnderReview
i1001017-1,speeding,d1001017,0.19,12/09/2024,Pending
i1001672-2,accident,d1001672,0.38,23/09/2024,Resolved
i1002425-5,accident,d1002425,0.69,18/06/2025,Open
i1001377-4,maintenance,d1001377,0.91,14/11/2024,Open
i1001360-4,theft,d1001360,0.78,27/07/2024,Open
i1001930-2,maintenance,d1001930,0.75,01/06/2025,Open
i1002544-4,accident,d1002544,0.54,12/06/2025,Pending
i1002513-2,licenseFine,d1002513,0.27,07/08/2025,Resolved
i1002560-2,maintenance,d1002560,0.83,26/05/2025,Resolved
i1002803-2,maintenance,d1002803,0.78,17/03/2025,Open
i1002015-2,routeDelay,d1002015,0.84,31/08/2024,Resolved
i1002434-2,licenseFine,d1002434,0.55,24/12/2024,Resolved
i1002949-2,maintenance,d1002949,0.1,20/01/2025,Resolved
i1001531-4,theft,d1001531,0.12,06/06/2024,Pending
i1001346-1,routeDelay,d1001346,0.79,09/03/2025,Resolved
i1001357-5,maintenance,d1001357,0.73,24/12/2024,Resolved
i1002177-5,speeding,d1002177,0.07,18/02/2024,Resolved
i1002109-5,routeDelay,d1002109,0.19,30/05/2024,UnderReview
i1001210-2,theft,d1001210,0.48,11/09/2024,UnderReview
i1001487-5,theft,d1001487,0.91,10/04/2025,Pending
i1002018-5,accident,d1002018,0.38,27/06/2025,Open
i1002219-5,theft,d1002219,0.8,07/09/2024,Pending
i1002036-2,maintenance,d1002036,0.81,02/10/2024,UnderReview
i1001430-4,accident,d1001430,0.16,18/01/2025,Resolved
i1001573-3,maintenance,d1001573,0.1,26/01/2025,UnderReview
i1002362-3,theft,d1002362,0.22,22/11/2024,Open
i1002999-5,speeding,d1002999,0.44,21/09/2024,UnderReview
i1002752-1,speeding,d1002752,0.73,04/07/2025,Pending
i1001597-2,accident,d1001597,0.64,15/06/2024,Open
i1002838-5,theft,d1002838,0.69,30/07/2024,UnderReview
i1001881-3,licenseFine,d1001881,0.72,09/09/2024,Pending
i1002368-2,routeDelay,d1002368,0.09,23/04/2024,Open
i1001830-2,accident,d1001830,0.97,02/10/2024,Resolved
i1001315-1,theft,d1001315,0.49,26/06/2025,UnderReview
i1002028-1,licenseFine,d1002028,0.25,17/05/2024,Open
i1001612-2,accident,d1001612,0.31,19/04/2024,Open
i1002338-4,theft,d1002338,0.31,20/05/2024,Resolved
i1001490-5,speeding,d1001490,0.48,28/02/2025,Open
i1002040-1,routeDelay,d1002040,0.75,27/02/2025,Open
i1002777-3,licenseFine,d1002777,0.73,02/01/2024,Open
i1002990-5,accident,d1002990,0.89,17/03/2025,Open
i1002507-1,maintenance,d1002507,0.52,28/03/2024,Open
i1002116-1,accident,d1002116,0.2,24/08/2024,Pending
i1002730-2,maintenance,d1002730,0.77,25/02/2025,Open
i1001378-1,licenseFine,d1001378,0.29,20/05/2025,Resolved
i1001848-3,theft,d1001848,0.14,04/04/2025,Open
i1001388-2,speeding,d1001388,0.54,22/06/2024,UnderReview
i1001079-1,accident,d1001079,0.81,29/03/2025,UnderReview
i1001175-5,accident,d1001175,0.72,19/12/2024,Pending
i1002061-2,speeding,d1002061,0.68,20/04/2025,Pending
i1001568-1,accident,d1001568,0.86,02/10/2024,Open
i1002568-5,routeDelay,d1002568,0.36,02/11/2024,Pending
i1002029-4,speeding,d1002029,0.42,26/07/2024,UnderReview
i1002532-3,routeDelay,d1002532,0.66,04/06/2024,Open
i1002831-1,accident,d1002831,0.28,19/03/2025,Resolved
i1001293-1,routeDelay,d1001293,0.25,17/02/2025,Resolved
i1001099-5,maintenance,d1001099,0.84,20/04/2024,Open
i1002193-4,speeding,d1002193,0.64,22/07/2025,Pending
i1001340-3,accident,d1001340,0.1,22/10/2024,UnderReview
i1002320-4,theft,d1002320,0.25,23/01/2025,Pending
i1002705-1,maintenance,d1002705,0.94,05/09/2024,UnderReview
i1001591-2,accident,d1001591,0.32,19/06/2025,UnderReview
i1001478-1,routeDelay,d1001478,0.28,27/01/2024,Resolved
i1001959-5,maintenance,d1001959,0.42,31/08/2024,Resolved
i1001868-1,licenseFine,d1001868,0.73,20/10/2024,Resolved
i1002326-5,speeding,d1002326,0.98,31/05/2025,Resolved
i1001731-3,accident,d1001731,0.64,04/12/2024,Pending
i1002617-4,maintenance,d1002617,0.36,08/03/2025,Pending
i1001132-2,theft,d1001132,0.05,12/12/2024,Open
i1001207-1,routeDelay,d1001207,0.13,02/08/2025,Resolved
i1001335-2,routeDelay,d1001335,0.05,20/05/2025,Resolved
i1002210-1,licenseFine,d1002210,0.29,11/06/2025,Resolved
i1001057-4,licenseFine,d1001057,0.05,25/02/2024,Pending
i1001931-4,accident,d1001931,0.48,06/08/2025,Resolved
i1001604-4,accident,d1001604,0.71,10/04/2024,Resolved
i1002449-3,maintenance,d1002449,0.88,27/03/2024,Resolved
i1001519-1,routeDelay,d1001519,0.73,17/02/2025,UnderReview
i1002853-4,accident,d1002853,0.62,28/04/2024,Open
i1002188-1,routeDelay,d1002188,0.43,18/04/2024,Resolved
i1001053-3,accident,d1001053,0.8,18/09/2024,Open
i1001329-4,accident,d1001329,0.52,03/05/2024,UnderReview
i1002386-1,routeDelay,d1002386,0.86,25/01/2024,Pending
i1001504-1,routeDelay,d1001504,0.4,20/01/2024,Open
i1002065-2,theft,d1002065,0.31,15/11/2024,UnderReview
i1002122-5,accident,d1002122,0.07,18/08/2025,Pending
i1001694-4,licenseFine,d1001694,0.11,04/01/2024,Open
i1001774-4,theft,d1001774,0.33,21/07/2024,Pending
i1002525-3,speeding,d1002525,0.85,05/03/2025,Resolved
i1002793-5,maintenance,d1002793,0.34,11/06/2024,Resolved
