Package_ID,PackageName,PackageQuant,PackageSize,PackageWeigh,PackageValue,Volume,PickupStop_ID,DeliveryStop_ID,Route_ID
p344,Retail Package,3,L,99kg,"R$ 15.312,00",184,1195,1231,r1522
p345,Petz Package,1,XXL,34kg,"R$ 33.382,00",40,281,1131,r1585
p346,E‑commerce Package,2,XL,60kg,"R$ 33.858,00",78,242,1387,r2769
p347,Retail Package,2,S,88kg,"R$ 17.420,00",141,214,407,r2970
p348,Retail Package,6,GG,75kg,"R$ 40.476,00",32,697,1699,r1929
p349,Petz Package,9,GG,45kg,"R$ 3.770,00",183,115,568,r1890
p350,Food Package,10,XS,17kg,"R$ 3.294,00",46,813,63,r2981
p351,Food Package,4,XXL,33kg,"R$ 47.769,00",77,1097,175,r1712
p352,Petz Package,6,XS,33kg,"R$ 13.989,00",53,477,213,r2524
p353,Retail Package,7,XS,96kg,"R$ 32.855,00",109,463,1086,r1440
p354,E‑commerce Package,8,XS,61kg,"R$ 42.341,00",138,290,1783,r2447
p355,Food Package,9,S,100kg,"R$ 28.743,00",63,881,1735,r2131
p356,Petz Package,4,M,21kg,"R$ 31.171,00",193,621,1772,r1291
p357,Petz Package,1,GG,41kg,"R$ 29.896,00",124,942,452,r2872
p358,Retail Package,4,L,57kg,"R$ 12.591,00",12,336,1950,r2718
p359,Petz Package,3,XXL,39kg,"R$ 45.851,00",33,1654,1974,r1527
p360,E‑commerce Package,8,M,62kg,"R$ 1.875,00",16,634,26,r1968
p361,Food Package,1,XL,81kg,"R$ 39.684,00",148,905,52,r2448
p362,Retail Package,1,XS,78kg,"R$ 33.265,00",48,1562,1929,r1694
p363,E‑commerce Package,1,XXL,66kg,"R$ 37.613,00",137,1003,685,r1359
p364,E‑commerce Package,2,M,6kg,"R$ 4.225,00",89,1912,1298,r1932
p365,Food Package,2,S,75kg,"R$ 8.570,00",93,1287,1655,r1669
p366,Petz Package,8,L,87kg,"R$ 18.771,00",146,1221,1272,r1507
p367,E‑commerce Package,7,XL,58kg,"R$ 27.089,00",96,1276,749,r1921
p368,Food Package,4,M,41kg,"R$ 33.075,00",8,1516,227,r2587
p369,Retail Package,1,L,7kg,"R$ 18.788,00",181,543,759,r1953
p370,Petz Package,10,XL,57kg,"R$ 30.776,00",135,1207,1417,r1835
p371,E‑commerce Package,2,XS,95kg,"R$ 49.680,00",146,1672,428,r1495
p372,Retail Package,8,M,64kg,"R$ 4.586,00",87,189,143,r1027
p373,Food Package,3,XL,63kg,"R$ 20.636,00",115,68,418,r1067
p374,Retail Package,10,S,2kg,"R$ 13.075,00",185,1608,1379,r1251
p375,Food Package,9,L,14kg,"R$ 34.742,00",152,579,401,r1300
p376,Food Package,7,GG,32kg,"R$ 38.303,00",18,337,123,r2048
p377,Petz Package,8,S,6kg,"R$ 15.737,00",137,494,1260,r1637
p378,Food Package,2,XL,45kg,"R$ 28.496,00",133,808,573,r2329
p379,Retail Package,8,L,27kg,"R$ 2.118,00",188,1299,737,r2591
p380,Food Package,5,XXL,16kg,"R$ 35.350,00",75,480,97,r2604
p381,Petz Package,8,L,63kg,"R$ 45.420,00",182,177,1248,r1577
p382,Retail Package,10,L,27kg,"R$ 40.107,00",29,1800,399,r1702
p383,Retail Package,6,XS,61kg,"R$ 48.349,00",117,1228,576,r2457
p384,Food Package,5,S,66kg,"R$ 48.267,00",98,885,1948,r1811
p385,Petz Package,10,S,39kg,"R$ 27.124,00",102,594,746,r2818
p386,Food Package,5,S,38kg,"R$ 47.354,00",35,420,196,r2602
p387,E‑commerce Package,7,GG,99kg,"R$ 42.726,00",176,1946,609,r2185
p388,E‑commerce Package,7,XL,41kg,"R$ 38.076,00",105,1888,1875,r1188
p389,Petz Package,8,S,63kg,"R$ 44.581,00",5,680,1237,r2958
p390,Retail Package,4,L,31kg,"R$ 22.291,00",76,496,209,r1301
p391,Food Package,3,M,41kg,"R$ 11.283,00",178,1180,307,r2326
p392,Petz Package,6,XXL,32kg,"R$ 1.087,00",182,1923,1365,r1680
p393,E‑commerce Package,4,S,98kg,"R$ 30.127,00",14,732,626,r1223
p394,Petz Package,2,XL,50kg,"R$ 5.970,00",158,555,410,r2822
p395,E‑commerce Package,5,L,31kg,"R$ 7.219,00",155,1328,520,r1845
p396,Petz Package,1,GG,23kg,"R$ 3.208,00",127,1518,693,r2249
p397,Petz Package,9,M,26kg,"R$ 19.243,00",192,1983,1803,r2180
p398,E‑commerce Package,10,XL,38kg,"R$ 11.200,00",17,1594,269,r1775
p399,Retail Package,6,XL,44kg,"R$ 35.428,00",142,475,347,r2074
p400,Food Package,9,S,72kg,"R$ 48.028,00",184,659,1473,r2945
p401,Petz Package,7,XS,31kg,"R$ 42.532,00",102,582,662,r2449
p402,Food Package,8,S,45kg,"R$ 23.172,00",105,1216,972,r2622
p403,Food Package,3,M,8kg,"R$ 687,00",72,1700,878,r1297
p404,Petz Package,6,GG,58kg,"R$ 43.451,00",179,1946,1386,r1418
p405,E‑commerce Package,4,XS,21kg,"R$ 32.792,00",97,1239,1945,r1902
p406,Petz Package,10,S,73kg,"R$ 35.906,00",155,1236,1376,r2120
p407,Food Package,10,S,54kg,"R$ 4.998,00",114,125,1645,r2478
p408,Retail Package,3,XL,54kg,"R$ 17.774,00",165,649,38,r2935
p409,Food Package,3,XL,4kg,"R$ 29.334,00",173,1307,137,r2934
p410,Petz Package,3,S,47kg,"R$ 22.990,00",115,490,7,r2377
p411,Petz Package,1,L,68kg,"R$ 7.291,00",137,288,1981,r1418
p412,Food Package,6,XXL,72kg,"R$ 5.715,00",90,1295,877,r1885
p413,Food Package,4,XS,37kg,"R$ 49.009,00",179,438,1213,r1562
p414,Petz Package,6,S,47kg,"R$ 9.784,00",10,1537,405,r2617
p415,E‑commerce Package,2,XXL,56kg,"R$ 23.443,00",96,616,1879,r1013
p416,Retail Package,7,L,5kg,"R$ 19.634,00",71,1739,699,r1563
p417,Retail Package,8,M,28kg,"R$ 13.889,00",39,777,1781,r1155
p418,Petz Package,10,S,29kg,"R$ 36.185,00",78,1415,979,r1317
p419,Petz Package,6,M,27kg,"R$ 42.504,00",36,830,755,r2386
p420,E‑commerce Package,3,L,91kg,"R$ 4.882,00",92,464,522,r2194
p421,Petz Package,8,L,17kg,"R$ 6.681,00",8,539,534,r1809
p422,Retail Package,9,XL,51kg,"R$ 22.003,00",39,863,453,r1010
p423,E‑commerce Package,6,GG,57kg,"R$ 29.257,00",139,1721,1827,r1243
p424,Petz Package,9,XL,35kg,"R$ 32.139,00",34,1158,806,r1904
p425,E‑commerce Package,3,L,77kg,"R$ 33.810,00",132,1460,1882,r1664
p426,Retail Package,6,XXL,39kg,"R$ 36.513,00",26,1876,1447,r1280
p427,E‑commerce Package,5,S,96kg,"R$ 35.927,00",172,393,715,r2424
p428,Retail Package,5,XL,74kg,"R$ 9.978,00",186,1585,619,r1491
p429,E‑commerce Package,1,XS,38kg,"R$ 13.184,00",1,63,1935,r2789
p430,Food Package,6,L,8kg,"R$ 30.510,00",156,364,1479,r1775
p431,Retail Package,7,M,22kg,"R$ 29.438,00",170,255,472,r2238
p432,Petz Package,8,XS,33kg,"R$ 3.964,00",51,1078,367,r1804
p433,Retail Package,4,S,72kg,"R$ 22.931,00",151,838,1183,r1886
p434,Petz Package,6,XS,57kg,"R$ 24.092,00",194,1991,1650,r2367
p435,Food Package,1,XS,53kg,"R$ 37.302,00",147,119,1823,r2140
p436,Food Package,3,XL,17kg,"R$ 1.674,00",156,1635,101,r2653
p437,Retail Package,1,M,23kg,"R$ 30.061,00",40,695,1513,r1391
p438,Petz Package,10,GG,26kg,"R$ 6.950,00",17,1370,727,r2711
p439,Retail Package,1,S,15kg,"R$ 29.089,00",126,1841,1139,r2818
p440,E‑commerce Package,6,M,26kg,"R$ 21.604,00",163,1612,394,r2212
p441,Food Package,2,M,61kg,"R$ 9.962,00",39,676,1068,r2532
p442,Food Package,7,L,30kg,"R$ 11.206,00",6,177,735,r2570
p443,Petz Package,2,L,41kg,"R$ 1.840,00",45,1014,1480,r1743
p444,Retail Package,9,M,60kg,"R$ 31.515,00",89,13,1675,r2519
p445,Retail Package,5,GG,10kg,"R$ 16.467,00",30,124,599,r1054
p446,E‑commerce Package,1,XL,47kg,"R$ 46.658,00",93,289,649,r1390
p447,Petz Package,10,L,21kg,"R$ 47.336,00",17,443,1426,r2269
p448,Food Package,8,M,86kg,"R$ 1.458,00",81,547,151,r2200
p449,Retail Package,8,M,45kg,"R$ 31.738,00",183,1911,105,r1414
p450,Petz Package,4,S,95kg,"R$ 47.150,00",56,562,893,r2438
p451,E‑commerce Package,3,XXL,55kg,"R$ 27.823,00",166,735,1886,r2226
p452,Retail Package,9,XS,50kg,"R$ 21.694,00",65,939,279,r2460
p453,E‑commerce Package,1,XL,100kg,"R$ 27.692,00",49,412,1008,r2629
p454,Food Package,4,XXL,3kg,"R$ 25.042,00",111,1537,1781,r1065
p455,Food Package,8,L,72kg,"R$ 16.390,00",6,1975,706,r1960
p456,Food Package,10,L,27kg,"R$ 5.195,00",34,1181,1701,r2410
p457,Retail Package,8,L,44kg,"R$ 41.291,00",179,611,1886,r1569
p458,Retail Package,4,XXL,55kg,"R$ 41.773,00",63,169,316,r2461
p459,Food Package,10,L,6kg,"R$ 34.284,00",101,1984,1302,r2097
p460,Petz Package,3,XS,58kg,"R$ 35.483,00",138,1187,1070,r2253
p461,E‑commerce Package,1,XL,37kg,"R$ 35.097,00",156,352,1553,r1099
p462,Retail Package,9,M,47kg,"R$ 28.136,00",44,194,37,r1093
p463,Retail Package,9,S,84kg,"R$ 16.724,00",123,1398,1538,r1796
p464,Petz Package,1,S,71kg,"R$ 44.006,00",171,872,258,r2725
p465,Retail Package,10,S,48kg,"R$ 43.365,00",20,1584,442,r1918
p466,Retail Package,5,M,57kg,"R$ 10.568,00",197,629,492,r1574
p467,Petz Package,8,XS,41kg,"R$ 24.273,00",141,974,171,r1154
p468,Retail Package,6,S,77kg,"R$ 18.424,00",60,159,337,r1692
p469,Retail Package,1,L,32kg,"R$ 48.231,00",121,51,322,r1255
p470,Petz Package,4,L,62kg,"R$ 41.471,00",13,1218,225,r1193
p471,Retail Package,3,XS,16kg,"R$ 3.104,00",20,1538,1801,r2763
p472,E‑commerce Package,4,GG,68kg,"R$ 25.090,00",108,771,287,r2831
p473,E‑commerce Package,5,GG,17kg,"R$ 6.837,00",164,1966,1499,r2144
p474,Petz Package,3,XS,74kg,"R$ 26.981,00",99,1810,995,r1509
p475,Retail Package,6,XS,64kg,"R$ 10.648,00",141,1004,290,r2403
p476,Retail Package,10,XS,72kg,"R$ 38.462,00",54,1807,374,r2310
p477,Food Package,2,XL,46kg,"R$ 32.240,00",108,1490,439,r1326
p478,E‑commerce Package,4,XS,67kg,"R$ 4.997,00",14,1063,749,r2178
p479,E‑commerce Package,7,L,95kg,"R$ 41.103,00",45,966,1510,r2151
p480,E‑commerce Package,1,GG,12kg,"R$ 21.615,00",182,1567,199,r2475
p481,Retail Package,4,XL,40kg,"R$ 18.417,00",174,1261,151,r1156
p482,Retail Package,9,XS,84kg,"R$ 5.292,00",171,1582,424,r2728
p483,E‑commerce Package,2,XL,75kg,"R$ 21.681,00",157,833,359,r2669
p484,Food Package,6,XS,5kg,"R$ 49.584,00",189,551,1377,r2545
p485,E‑commerce Package,3,XL,89kg,"R$ 40.773,00",104,1498,739,r1585
p486,Petz Package,10,L,96kg,"R$ 1.421,00",59,1607,296,r1136
p487,E‑commerce Package,7,S,9kg,"R$ 3.675,00",52,106,1155,r2190
p488,Petz Package,4,L,47kg,"R$ 3.370,00",148,1024,1331,r1601
p489,Petz Package,9,S,27kg,"R$ 40.035,00",172,1908,506,r2462
p490,Petz Package,2,L,86kg,"R$ 32.942,00",115,589,257,r1714
p491,Petz Package,7,L,81kg,"R$ 39.400,00",70,1529,1741,r1253
p492,E‑commerce Package,6,XXL,86kg,"R$ 44.708,00",101,1398,1099,r1021
p493,Food Package,1,XXL,62kg,"R$ 9.488,00",58,166,119,r1488
p494,Food Package,8,XL,19kg,"R$ 19.806,00",178,902,720,r1701
p495,Petz Package,9,M,15kg,"R$ 30.772,00",106,1558,511,r2343
p496,Food Package,2,S,58kg,"R$ 38.081,00",159,1936,485,r2667
p497,Retail Package,9,XXL,96kg,"R$ 14.796,00",30,1132,1566,r1258
p498,Food Package,4,L,91kg,"R$ 13.031,00",112,916,995,r2821
p499,Retail Package,10,XXL,98kg,"R$ 20.059,00",170,1769,67,r1830
p500,E‑commerce Package,4,XS,84kg,"R$ 3.265,00",96,1758,521,r2996
p501,Food Package,9,GG,32kg,"R$ 16.563,00",158,1328,289,r1831
p502,E‑commerce Package,3,XXL,26kg,"R$ 19.419,00",125,73,1699,r2837
p503,Food Package,1,GG,2kg,"R$ 24.516,00",81,1653,1741,r1374
p504,Retail Package,9,M,64kg,"R$ 2.793,00",95,1611,1890,r2475
p505,Food Package,6,L,55kg,"R$ 12.012,00",64,727,1041,r2662
p506,E‑commerce Package,10,XS,96kg,"R$ 18.497,00",148,342,543,r2171
p507,Food Package,10,XS,25kg,"R$ 29.822,00",36,1709,639,r2754
p508,E‑commerce Package,10,S,97kg,"R$ 49.582,00",63,1011,479,r2410
p509,Petz Package,6,XS,31kg,"R$ 24.621,00",8,1506,1846,r1738
p510,Food Package,4,S,91kg,"R$ 39.452,00",127,1285,1479,r1410
p511,Petz Package,7,L,23kg,"R$ 10.229,00",108,1268,1624,r1522
p512,Petz Package,10,GG,44kg,"R$ 48.663,00",127,1190,1256,r2281
p513,Food Package,3,XL,58kg,"R$ 15.829,00",59,1460,498,r2406
p514,Food Package,6,S,37kg,"R$ 3.480,00",1,52,1090,r1115
p515,Petz Package,6,M,99kg,"R$ 48.624,00",89,1344,1459,r2448
p516,Retail Package,5,M,28kg,"R$ 23.440,00",153,318,311,r2294
p517,Petz Package,2,GG,10kg,"R$ 13.402,00",162,430,41,r1157
p518,Petz Package,6,XL,88kg,"R$ 23.837,00",190,538,407,r1501
p519,E‑commerce Package,10,XS,34kg,"R$ 2.563,00",20,1986,436,r1928
p520,E‑commerce Package,2,XXL,88kg,"R$ 13.580,00",6,1666,662,r1358
p521,Food Package,5,GG,81kg,"R$ 26.571,00",94,1997,756,r1025
p522,Petz Package,7,XXL,27kg,"R$ 4.117,00",112,1131,1572,r1738
p523,E‑commerce Package,7,M,69kg,"R$ 2.553,00",117,1225,412,r2580
p524,Food Package,8,XL,56kg,"R$ 35.458,00",67,302,1817,r1661
p525,E‑commerce Package,3,XXL,21kg,"R$ 3.248,00",169,14,1337,r1148
p526,Retail Package,10,GG,73kg,"R$ 29.879,00",141,1868,1653,r2574
p527,Petz Package,10,M,87kg,"R$ 32.201,00",199,765,483,r1985
p528,Food Package,2,XS,35kg,"R$ 13.674,00",51,242,148,r1041
p529,E‑commerce Package,6,XXL,100kg,"R$ 3.717,00",177,443,1817,r2682
p530,Petz Package,6,XL,97kg,"R$ 36.136,00",168,1066,726,r1453
p531,Petz Package,6,S,88kg,"R$ 43.599,00",71,1295,1721,r2590
p532,Retail Package,6,S,36kg,"R$ 38.089,00",136,1774,1089,r2779
p533,Petz Package,8,XS,64kg,"R$ 10.737,00",163,1763,1354,r2515
p534,E‑commerce Package,10,XXL,2kg,"R$ 27.986,00",117,359,477,r2108
p535,Retail Package,10,XL,48kg,"R$ 23.874,00",133,34,464,r2642
p536,Petz Package,7,XL,28kg,"R$ 25.197,00",123,203,1705,r1473
p537,E‑commerce Package,3,M,99kg,"R$ 36.056,00",96,1294,753,r1897
p538,Retail Package,2,M,46kg,"R$ 46.785,00",123,1959,1658,r2821
p539,Retail Package,4,GG,25kg,"R$ 41.744,00",9,1473,584,r2211
p540,Food Package,6,GG,77kg,"R$ 33.607,00",126,181,1905,r2170
p541,Food Package,9,XS,20kg,"R$ 28.080,00",28,858,182,r2761
p542,E‑commerce Package,9,S,11kg,"R$ 44.004,00",135,1799,256,r2847
p543,Food Package,8,XL,70kg,"R$ 34.060,00",119,1532,1731,r2643
p544,Food Package,8,S,4kg,"R$ 30.210,00",120,506,45,r1729
p545,E‑commerce Package,9,XS,6kg,"R$ 16.697,00",22,487,1954,r1467
p546,Petz Package,3,XL,39kg,"R$ 21.661,00",22,1518,823,r1381
p547,Petz Package,2,XXL,65kg,"R$ 39.689,00",113,689,1442,r1752
p548,Food Package,5,GG,88kg,"R$ 46.909,00",156,1565,1718,r2068
p549,Food Package,2,XXL,86kg,"R$ 46.438,00",92,1941,530,r2154
p550,Petz Package,10,M,6kg,"R$ 44.880,00",178,972,1405,r1520
p551,E‑commerce Package,4,L,13kg,"R$ 14.554,00",133,1571,232,r2795
p552,Food Package,2,M,35kg,"R$ 48.393,00",179,1307,473,r1545
p553,E‑commerce Package,7,XL,12kg,"R$ 44.652,00",143,1768,536,r1983
p554,Food Package,6,XXL,41kg,"R$ 35.473,00",163,614,367,r2761
p555,Food Package,3,XL,19kg,"R$ 8.107,00",182,266,1022,r1086
p556,Retail Package,8,XL,5kg,"R$ 14.122,00",124,360,1337,r1038
p557,Food Package,3,M,26kg,"R$ 24.521,00",41,443,1461,r2737
p558,Retail Package,10,GG,51kg,"R$ 37.524,00",80,1550,1167,r1295
p559,Food Package,4,XS,72kg,"R$ 37.649,00",43,1462,1907,r2751
p560,Food Package,7,M,96kg,"R$ 44.412,00",64,377,60,r2823
p561,Retail Package,10,GG,59kg,"R$ 43.756,00",91,876,1668,r1738
p562,Food Package,8,M,10kg,"R$ 33.223,00",172,782,1007,r2724
p563,E‑commerce Package,1,GG,10kg,"R$ 25.730,00",100,1582,1820,r1267
p564,E‑commerce Package,4,XS,77kg,"R$ 6.082,00",135,536,687,r1844
p565,E‑commerce Package,7,XS,46kg,"R$ 19.955,00",80,1670,978,r1207
p566,E‑commerce Package,10,GG,64kg,"R$ 33.480,00",27,1832,660,r2055
p567,Petz Package,2,S,50kg,"R$ 7.631,00",176,469,1252,r2986
p568,Retail Package,7,L,59kg,"R$ 9.031,00",144,1532,326,r2220
p569,Retail Package,7,XS,23kg,"R$ 10.458,00",99,1187,1074,r2437
p570,E‑commerce Package,1,M,4kg,"R$ 5.943,00",148,1451,208,r2118
p571,Retail Package,7,XL,75kg,"R$ 313,00",160,1473,822,r1827
p572,Retail Package,9,L,65kg,"R$ 15.780,00",47,1174,1485,r1695
p573,E‑commerce Package,8,M,62kg,"R$ 8.335,00",172,126,1510,r1743
p574,E‑commerce Package,8,GG,66kg,"R$ 48.302,00",129,711,1117,r2570
p575,Retail Package,3,GG,98kg,"R$ 8.382,00",154,813,100,r2919
p576,E‑commerce Package,6,GG,68kg,"R$ 22.962,00",183,1933,1287,r2097
p577,Petz Package,7,XS,27kg,"R$ 12.134,00",136,1403,1906,r2718
p578,Retail Package,5,S,8kg,"R$ 19.838,00",148,1630,1358,r2213
p579,Petz Package,2,XL,75kg,"R$ 34.348,00",100,1318,1372,r1284
p580,Food Package,1,XS,66kg,"R$ 12.963,00",41,1091,505,r1589
p581,Petz Package,7,XL,37kg,"R$ 24.977,00",12,1606,1824,r1717
p582,Food Package,10,GG,30kg,"R$ 30.003,00",180,843,878,r1685
p583,E‑commerce Package,10,XXL,36kg,"R$ 14.090,00",86,1613,302,r1104
p584,E‑commerce Package,10,GG,81kg,"R$ 4.993,00",145,1736,1412,r2270
p585,Petz Package,10,L,82kg,"R$ 47.228,00",196,301,1153,r1967
p586,Food Package,6,M,52kg,"R$ 28.749,00",105,1768,729,r1298
p587,Petz Package,7,L,67kg,"R$ 24.611,00",190,628,168,r2691
p588,Petz Package,7,XS,24kg,"R$ 26.139,00",14,1865,251,r2548
p589,E‑commerce Package,8,L,6kg,"R$ 4.041,00",183,154,1532,r2174
p590,Retail Package,8,GG,31kg,"R$ 24.353,00",20,1239,187,r1815
p591,Retail Package,3,M,96kg,"R$ 11.619,00",182,829,705,r1071
p592,Retail Package,2,GG,43kg,"R$ 43.022,00",66,1539,851,r2860
p593,Retail Package,5,XL,1kg,"R$ 37.021,00",186,972,941,r1932
p594,Retail Package,3,L,5kg,"R$ 9.805,00",151,1293,1804,r2213
p595,Food Package,7,L,23kg,"R$ 16.330,00",85,1677,992,r2974
p596,Food Package,9,XL,45kg,"R$ 28.385,00",122,1140,1066,r2709
p597,Petz Package,5,XXL,32kg,"R$ 11.123,00",143,886,1046,r1482
p598,E‑commerce Package,6,XXL,98kg,"R$ 33.681,00",81,1143,1708,r2224
p599,Food Package,6,S,97kg,"R$ 26.710,00",94,1212,1618,r1064
p600,Retail Package,7,S,79kg,"R$ 32.447,00",193,922,1726,r1445
p601,Petz Package,9,GG,18kg,"R$ 25.606,00",17,1289,1516,r2895
p602,E‑commerce Package,9,XXL,9kg,"R$ 47.014,00",114,1797,576,r1631
p603,Food Package,5,XS,40kg,"R$ 13.208,00",42,376,927,r1444
p604,Retail Package,1,XXL,23kg,"R$ 32.428,00",78,1472,448,r2266
p605,Food Package,7,XS,40kg,"R$ 4.343,00",198,256,524,r2973
p606,E‑commerce Package,6,XL,51kg,"R$ 45.752,00",12,917,840,r1260
p607,Petz Package,7,L,80kg,"R$ 11.587,00",55,1228,536,r2052
p608,Petz Package,6,L,10kg,"R$ 7.304,00",45,1061,1500,r1326
p609,Retail Package,2,S,47kg,"R$ 15.319,00",161,136,1643,r2618
p610,Retail Package,5,GG,23kg,"R$ 42.292,00",181,358,44,r2303
p611,Retail Package,1,XS,40kg,"R$ 22.155,00",20,1511,1164,r2418
p612,Retail Package,7,GG,18kg,"R$ 31.634,00",169,1170,1745,r2757
p613,Petz Package,8,M,6kg,"R$ 6.331,00",139,637,1526,r2173
p614,Food Package,4,GG,86kg,"R$ 31.692,00",35,259,1784,r2075
p615,Petz Package,4,M,26kg,"R$ 16.643,00",113,1187,1246,r2536
p616,Petz Package,9,GG,28kg,"R$ 18.319,00",102,1957,644,r1277
p617,Retail Package,3,L,97kg,"R$ 47.102,00",27,370,609,r1679
p618,Petz Package,7,M,60kg,"R$ 23.929,00",85,659,1031,r1466
p619,Petz Package,7,XL,91kg,"R$ 12.650,00",64,1289,1588,r1233
p620,Food Package,10,GG,100kg,"R$ 39.714,00",15,1223,1663,r2019
p621,Food Package,8,S,78kg,"R$ 19.852,00",128,981,1635,r1494
p622,Food Package,10,L,4kg,"R$ 502,00",190,1127,1134,r1049
p623,Retail Package,5,GG,46kg,"R$ 12.696,00",157,38,1859,r2246
p624,E‑commerce Package,4,XL,46kg,"R$ 11.470,00",131,1244,380,r1884
p625,E‑commerce Package,7,XL,33kg,"R$ 36.034,00",138,1945,1784,r2801
p626,Petz Package,7,L,27kg,"R$ 142,00",18,1486,1791,r1728
p627,Petz Package,3,S,16kg,"R$ 14.047,00",83,1052,1319,r2286
p628,Retail Package,7,L,67kg,"R$ 24.834,00",162,290,897,r1908
p629,Retail Package,1,GG,69kg,"R$ 16.150,00",91,941,123,r2694
p630,Food Package,10,XL,31kg,"R$ 45.448,00",68,923,337,r1911
p631,Food Package,9,XXL,97kg,"R$ 49.266,00",114,1455,595,r2419
p632,Retail Package,8,M,5kg,"R$ 21.469,00",80,1603,668,r1899
p633,E‑commerce Package,9,GG,1kg,"R$ 7.213,00",5,182,1772,r2047
p634,E‑commerce Package,1,XL,51kg,"R$ 9.038,00",187,1959,452,r2768
p635,Food Package,5,XL,54kg,"R$ 14.999,00",80,1451,1141,r2097
p636,Food Package,9,L,84kg,"R$ 26.563,00",85,799,1192,r1209
p637,Retail Package,7,XS,31kg,"R$ 11.901,00",143,501,810,r2331
p638,Retail Package,4,S,19kg,"R$ 23.913,00",53,1486,1732,r2936
p639,Food Package,6,XL,30kg,"R$ 16.502,00",107,1736,1528,r1355
p640,Food Package,3,GG,45kg,"R$ 4.796,00",9,666,711,r2428
p641,Petz Package,9,XXL,70kg,"R$ 8.306,00",46,1576,1280,r2573
p642,Petz Package,6,S,71kg,"R$ 2.195,00",53,1218,1294,r2252
p643,Retail Package,1,L,46kg,"R$ 42.242,00",91,1066,1207,r1362
p644,Petz Package,10,GG,59kg,"R$ 24.239,00",134,1425,1604,r1212
p645,E‑commerce Package,10,XS,17kg,"R$ 20.406,00",199,1015,91,r2257
p646,Petz Package,7,XL,72kg,"R$ 34.101,00",99,63,1295,r1143
p647,Petz Package,7,XXL,1kg,"R$ 15.792,00",147,906,1575,r2484
p648,Retail Package,6,XL,52kg,"R$ 3.193,00",169,134,677,r2990
p649,Food Package,5,S,43kg,"R$ 10.315,00",51,1728,1978,r2700
p650,Petz Package,5,GG,2kg,"R$ 24.379,00",181,1127,772,r1460
p651,E‑commerce Package,7,GG,96kg,"R$ 10.269,00",68,1584,1998,r1771
p652,E‑commerce Package,9,XXL,10kg,"R$ 22.876,00",172,965,759,r2218
p653,Food Package,5,XXL,50kg,"R$ 33.513,00",107,842,1136,r1673
p654,E‑commerce Package,1,M,83kg,"R$ 44.014,00",196,1758,788,r1118
p655,E‑commerce Package,10,M,88kg,"R$ 22.242,00",24,791,1490,r1845
p656,E‑commerce Package,5,XXL,18kg,"R$ 28.157,00",98,1169,97,r1201
p657,Food Package,1,M,38kg,"R$ 2.425,00",188,90,1120,r2906
p658,Retail Package,5,XS,71kg,"R$ 43.655,00",63,666,1167,r2479
p659,Food Package,2,XL,21kg,"R$ 41.681,00",87,269,1960,r2542
p660,Retail Package,10,L,8kg,"R$ 27.097,00",116,113,1756,r1342
p661,Petz Package,1,XXL,37kg,"R$ 1.671,00",141,1104,1757,r2743
p662,E‑commerce Package,1,M,21kg,"R$ 21.484,00",68,256,623,r1574
p663,E‑commerce Package,4,XXL,54kg,"R$ 29.832,00",192,877,1936,r2781
p664,Retail Package,3,XS,73kg,"R$ 38.776,00",185,1571,1189,r2318
p665,Retail Package,6,XS,80kg,"R$ 3.997,00",47,1506,1609,r1444
p666,Retail Package,10,L,75kg,"R$ 21.568,00",55,1246,1560,r1150
p667,Petz Package,9,XL,39kg,"R$ 28.583,00",34,591,1881,r1004
p668,Food Package,6,L,54kg,"R$ 49.567,00",117,907,461,r2571
p669,Petz Package,5,XL,92kg,"R$ 39.927,00",83,1051,557,r2240
p670,Petz Package,3,XXL,59kg,"R$ 45.278,00",172,14,1078,r2559
p671,Petz Package,2,GG,38kg,"R$ 33.423,00",11,1965,826,r1217
p672,Retail Package,5,S,97kg,"R$ 42.721,00",163,487,554,r1815
p673,Food Package,6,XXL,31kg,"R$ 26.632,00",161,424,1468,r2917
p674,Petz Package,3,XL,88kg,"R$ 5.657,00",42,961,1459,r2347
p675,Petz Package,4,XXL,63kg,"R$ 26.265,00",131,741,1,r1432
p676,Petz Package,1,S,88kg,"R$ 33.552,00",6,517,145,r2058
p677,Retail Package,6,XXL,64kg,"R$ 13.772,00",165,565,693,r1532
p678,Food Package,9,S,2kg,"R$ 41.607,00",57,1609,1857,r1651
p679,Food Package,9,M,35kg,"R$ 35.444,00",116,632,1655,r1765
p680,Petz Package,4,M,76kg,"R$ 28.651,00",195,1520,808,r1090
p681,Petz Package,7,XL,94kg,"R$ 29.279,00",150,403,1372,r2850
p682,Petz Package,2,XS,84kg,"R$ 21.552,00",95,1374,70,r1469
p683,Retail Package,10,XS,10kg,"R$ 39.579,00",145,1388,1222,r2745
p684,Food Package,3,XS,16kg,"R$ 17.510,00",122,1087,1575,r1808
p685,Retail Package,6,XXL,3kg,"R$ 24.047,00",175,1760,1332,r2969
p686,Petz Package,10,GG,7kg,"R$ 2.062,00",53,234,1820,r1806
p687,Petz Package,9,GG,10kg,"R$ 22.122,00",18,1798,619,r2924
p688,Food Package,1,XS,78kg,"R$ 39.386,00",29,1450,109,r1842
p689,Petz Package,7,M,72kg,"R$ 29.525,00",140,1214,403,r1936
p690,E‑commerce Package,8,XXL,34kg,"R$ 7.914,00",115,167,737,r1977
